id,season_code,competition_id,year,school_year,start,end
61,1,1,35,2022/2023,2022-01-31 23:00:00+01:00,2022-06-29 22:00:00+02:00
62,0,0,47,2023/2024,2022-08-31 22:00:00+02:00,2023-01-31 22:59:00+01:00
63,0,1,36,2023/2024,2022-08-31 22:00:00+02:00,2022-12-30 23:00:00+01:00
64,0,2,32,2023/2024,2022-08-31 22:00:00+02:00,2022-12-30 23:00:00+01:00
65,1,2,32,2023/2024,2023-01-22 23:00:00+01:00,2023-07-30 22:00:00+02:00
66,1,1,36,2023/2024,2023-01-31 23:00:00+01:00,2023-07-30 22:00:00+02:00
67,1,0,47,2023/2024,2023-02-08 23:00:00+01:00,2023-07-08 21:59:59+02:00
68,0,2,33,2024/2025,2023-08-31 22:00:00+02:00,2023-12-30 23:00:00+01:00
69,0,1,37,2024/2025,2023-08-31 22:00:00+02:00,2023-12-30 23:00:00+01:00
70,0,0,48,2024/2025,2023-08-31 22:00:00+02:00,2024-01-31 22:59:00+01:00
71,1,2,33,2024/2025,2023-12-31 23:00:00+01:00,2024-06-29 22:00:00+02:00
72,1,1,37,2024/2025,2023-12-31 23:00:00+01:00,2024-06-29 22:00:00+02:00
73,1,0,48,2024/2025,2024-02-11 23:00:00+01:00,2024-06-29 22:00:00+02:00
