id,semester_id,order,deadline,sum_method
98,46,2,2020-05-04 18:00:00+02:00,series_Matik_sum
99,49,1,2020-10-19 18:00:00+02:00,series_Matik_sum
100,50,1,2020-10-19 18:00:00+02:00,series_Malynar_sum
101,49,2,2020-11-23 19:00:00+01:00,series_Matik_sum
102,50,2,2020-11-23 19:00:00+01:00,series_Malynar_sum
103,51,1,2020-10-12 20:00:00+02:00,series_STROM_sum_until_2021
104,51,2,2020-11-16 21:00:00+01:00,series_STROM_sum_until_2021
105,52,1,2021-03-29 18:00:00+02:00,series_Malynar_sum
106,52,2,2021-05-03 18:00:00+02:00,series_Malynar_sum
107,54,1,2021-03-29 18:00:00+02:00,series_Matik_sum
108,54,2,2021-05-03 18:00:00+02:00,series_Matik_sum
109,55,1,2021-03-22 22:59:59+01:00,series_STROM_sum_until_2021
110,55,2,2021-04-26 21:59:59+02:00,series_STROM_sum_until_2021
111,56,1,2021-10-25 21:59:59+02:00,series_STROM_sum
112,56,2,2021-11-22 22:59:59+01:00,series_STROM_sum
113,57,1,2021-10-25 18:00:00+02:00,series_Malynar_sum_until_2021
114,57,2,2021-11-29 19:00:00+01:00,series_Malynar_sum_until_2021
115,58,1,2021-10-25 18:00:00+02:00,series_Matik_sum_until_2021
116,58,2,2021-11-29 19:00:00+01:00,series_Matik_sum_until_2021
117,59,1,2022-04-04 21:59:59+02:00,series_STROM_sum
118,59,2,2022-05-09 21:59:59+02:00,series_STROM_sum
119,61,1,2022-04-04 18:00:00+02:00,series_Matik_sum_until_2021
120,61,2,2022-05-02 18:00:00+02:00,series_Matik_sum_until_2021
121,60,1,2022-04-04 18:00:00+02:00,series_Malynar_sum_until_2021
122,60,2,2022-05-02 18:00:00+02:00,series_Malynar_sum_until_2021
124,62,1,2022-10-17 21:59:59+02:00,series_STROM_sum
125,62,2,2022-11-21 22:59:59+01:00,series_STROM_sum
126,64,1,2022-10-24 18:00:00+02:00,series_Malynar_sum_until_2021
127,64,2,2022-11-28 19:00:00+01:00,series_Malynar_sum_until_2021
128,63,1,2022-10-24 18:00:00+02:00,series_Matik_sum_until_2021
129,63,2,2022-11-28 19:00:00+01:00,series_Matik_sum_until_2021
130,65,1,2023-03-27 18:00:00+02:00,series_Malynar_sum_until_2021
131,65,2,2023-04-24 18:00:00+02:00,series_Malynar_sum_until_2021
132,66,1,2023-03-27 18:00:00+02:00,series_Matik_sum_until_2021
133,66,2,2023-04-24 18:00:00+02:00,series_Matik_sum_until_2021
134,67,1,2023-03-20 22:59:59+01:00,series_STROM_sum
135,67,2,2023-04-17 21:59:59+02:00,series_STROM_sum
136,68,1,2023-10-23 18:00:00+02:00,series_Malynar_sum_until_2021
137,68,2,2023-11-20 19:00:00+01:00,series_Malynar_sum_until_2021
138,69,1,2023-10-23 18:00:00+02:00,series_Matik_sum_until_2021
139,69,2,2023-11-20 19:00:00+01:00,series_Matik_sum_until_2021
140,70,1,2023-11-02 22:59:00+01:00,series_STROM_sum
141,70,2,2023-11-27 22:59:00+01:00,series_STROM_sum
142,71,1,2024-03-11 19:00:00+01:00,series_Malynar_sum_until_2021
143,71,2,2024-04-08 18:00:00+02:00,series_Malynar_sum_until_2021
144,72,2,2024-04-08 18:00:00+02:00,series_Matik_sum_until_2021
145,72,1,2024-03-11 19:00:00+01:00,series_Matik_sum_until_2021
146,73,1,2024-03-25 22:59:59+01:00,series_STROM_sum
147,73,2,2024-04-22 21:59:59+02:00,series_STROM_sum
